"contactor","contactee","contact.rate"
"19","11",33.953488372093
"20","11",31.7391304347826
"25","11",27.0960698689956
"30","11",28.3495145631068
"35","11",70.1558441558442
"40","11",62.960372960373
"45","11",81.1111111111111
"50","11",31.6017316017316
"55","11",66.4364035087719
"60","11",32.0608108108108
"65","11",21.7162471395881
"65+","11",23.6136783733826
"1","12",19.4148936170213
"2","12",18.25
"3","12",28.2746478873239
"4","12",24.3333333333333
"5","12",41.0927152317881
"6","12",43.5099337748344
"7","12",58.1884057971014
"8","12",100.037037037037
"9","12",186.438848920863
"10","12",178.697916666667
"11","12",601.832061068702
"12","12",2078.21875
"13","12",559.31654676259
"14","12",138.540145985401
"15","12",112.5
"16","12",48.0263157894737
"17","12",36.2732919254658
"18","12",28.968253968254
"19","12",16.9767441860465
"20","12",31.7391304347826
"25","12",14.3449781659389
"30","12",16.8325242718447
"35","12",54.038961038961
"40","12",74.8717948717949
"45","12",57.9365079365079
"50","12",17.3809523809524
"55","12",42.4232456140351
"60","12",13.1531531531532
"65","12",30.0686498855835
"65+","12",10.7948243992606
"1","13",23.2978723404255
"2","13",66.9166666666667
"3","13",33.4154929577465
"4","13",31.6333333333333
"5","13",53.1788079470199
"6","13",31.4238410596026
"7","13",68.768115942029
"8","13",105.444444444444
"9","13",162.805755395683
"10","13",110.260416666667
"11","13",231.259541984733
"12","13",755.09375
"13","13",2011.43884892086
"14","13",522.189781021898
"15","13",272.5
"16","13",139.276315789474
"17","13",79.3478260869565
"18","13",57.9365079365079
"19","13",42.4418604651163
"20","13",15.8695652173913
"25","13",27.8930131004367
"30","13",23.9199029126214
"35","13",37.9220779220779
"40","13",46.7948717948718
"45","13",96.8367346938776
"50","13",51.3528138528139
"55","13",36.0197368421053
"60","13",29.5945945945946
"65","13",18.3752860411899
"65+","13",21.5896487985213
"1","14",11.6489361702128
"2","14",18.25
"3","14",17.9929577464789
"4","14",48.6666666666667
"5","14",16.9205298013245
"6","14",16.9205298013245
"7","14",23.804347826087
"8","14",59.4814814814815
"9","14",78.7769784172662
"10","14",53.2291666666667
"11","14",78.0152671755725
"12","14",282.875
"13","14",751.007194244604
"14","14",1931.56934306569
"15","14",640
"16","14",201.710526315789
"17","14",86.1490683229814
"18","14",63.7301587301587
"19","14",22.6356589147287
"20","14",25.3913043478261
"25","14",14.3449781659389
"30","14",33.6650485436893
"35","14",14.2207792207792
"40","14",32.3310023310023
"45","14",50.4875283446712
"50","14",41.0822510822511
"55","14",49.6271929824561
"60","14",36.9932432432432
"65","14",24.2219679633867
"65+","14",13.4935304990758
"1","15",27.1808510638298
"2","15",39.5416666666667
"3","15",15.4225352112676
"4","15",36.5
